logradouro,bairro,localidade,cep,cidade,estado,letra,timestamp
"Avenida Doutor Nicolau Noé","Nova Suíça","Nova Friburgo/RJ","28605-742","Amparo (Nova Friburgo)/RJ","RJ","A","2025-08-29T17:32:51.600Z"
"Avenida Emil Cleff","Ypu","Nova Friburgo/RJ","28613-230","Amparo (Nova Friburgo)/RJ","RJ","A","2025-08-29T17:32:51.600Z"
"Avenida Engenheiro Hans Gaiser","Centro","Nova Friburgo/RJ","28605-220","Amparo (Nova Friburgo)/RJ","RJ","A","2025-08-29T17:32:51.600Z"
"Avenida Eugênio Gaiser","Centro","Nova Friburgo/RJ","28605-272","Amparo (Nova Friburgo)/RJ","RJ","A","2025-08-29T17:32:51.600Z"
"Avenida Euterpe Friburguense","Centro","Nova Friburgo/RJ","28605-130","Amparo (Nova Friburgo)/RJ","RJ","A","2025-08-29T17:32:51.600Z"
"Avenida Governador Geremias de Mattos Fontes","Centro","Nova Friburgo/RJ","28613-140","Amparo (Nova Friburgo)/RJ","RJ","A","2025-08-29T17:32:51.600Z"
"Avenida Hamburgo","Mury","Nova Friburgo/RJ","28615-230","Amparo (Nova Friburgo)/RJ","RJ","A","2025-08-29T17:32:51.600Z"
"Avenida Itália","Centro","Nova Friburgo/RJ","28613-090","Amparo (Nova Friburgo)/RJ","RJ","A","2025-08-29T17:32:51.600Z"
"Avenida José Pires Barroso","Olaria","Nova Friburgo/RJ","28620-075","Amparo (Nova Friburgo)/RJ","RJ","A","2025-08-29T17:32:51.600Z"
"Avenida José Ruiz Bolea","Centro","Nova Friburgo/RJ","28605-000","Amparo (Nova Friburgo)/RJ","RJ","A","2025-08-29T17:32:51.600Z"
"Avenida Joviniano José Sanglard","Fazenda Bela Vista","Nova Friburgo/RJ","28617-010","Amparo (Nova Friburgo)/RJ","RJ","A","2025-08-29T17:32:51.600Z"
"Avenida Júlio Antônio Thurler","Olaria","Nova Friburgo/RJ","28620-000","Amparo (Nova Friburgo)/RJ","RJ","A","2025-08-29T17:32:51.600Z"
"Avenida Waldir Teixeira de Abreu","Nova Suíça","Nova Friburgo/RJ","28605-740","Amparo (Nova Friburgo)/RJ","RJ","A","2025-08-29T17:32:51.600Z"
